Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,41,3.74,0.0732,36.0,1.0,1.25,1.0,3.74,9.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,23,115,37.5,0.2,135.28,1.0,1.63,1.0,35.99,3.76
anonymized_keyword,anonymized,anonymized_ad_group,USD,55,602,56.63,0.09140000000000001,36.0,1.0,1.03,1.0,56.63,0.64
anonymized_keyword,anonymized,anonymized_ad_group,USD,12,91,16.73,0.1319,72.0,2.0,1.39,2.0,8.36,4.3
anonymized_keyword,anonymized,anonymized_ad_group,USD,28,414,28.42,0.0676,203.61,2.5,1.02,1.5,18.95,7.16
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,522,3926,1809.15,0.133,10734.31,95.74,3.47,47.25,38.29,5.93
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,2,45,1.22,0.0444,364.31,1.0,0.61,1.0,1.22,298.61
anonymized_keyword,anonymized,anonymized_ad_group,USD,19,323,16.76,0.0588,484.66,2.0,0.88,1.0,16.76,28.92
anonymized_keyword,anonymized,anonymized_ad_group,USD,42,893,48.07,0.047,89.0,1.0,1.14,1.0,48.07,1.85
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,48,162,26.33,0.2963,2305.93,12.58,0.55,8.58,3.07,87.58
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,770,24900,1259.73,0.030899999999999997,3096.66,36.06,1.64,23.66,53.19,2.46
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,165,839,158.71,0.1967,4428.65,18.08,0.96,17.08,9.29,27.9
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,20,4.24,0.05,36.0,1.0,4.24,1.0,4.24,8.49
anonymized_keyword,anonymized,anonymized_ad_group,USD,13,183,12.46,0.071,36.0,1.0,0.96,1.0,12.46,2.89
anonymized_keyword,anonymized,anonymized_ad_group,USD,16,457,36.34,0.035,30.0,1.0,2.27,1.0,36.34,0.83
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,2,44,1.18,0.0455,169.98,2.0,0.59,2.0,0.59,144.05
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,117,1448,161.82,0.0808,1551.73,8.29,1.38,7.29,22.2,9.59
anonymized_keyword,anonymized,anonymized_ad_group,USD,123,3169,163.22,0.0388,824.93,1.0,1.33,1.0,163.22,5.05
anonymized_keyword,anonymized,anonymized_ad_group,USD,20,125,30.93,0.16,132.48,1.5,1.55,1.5,20.62,4.28
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,104,3.87,0.0385,350.81,2.0,0.97,2.0,1.94,90.65
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,15,7.09,0.4667,30.0,1.0,1.01,1.0,7.09,4.23
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,22,5.38,0.1818,36.0,1.0,1.34,1.0,5.38,6.69
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,204,1258,271.81,0.16219999999999998,4710.09,30.0,1.33,22.0,12.36,17.33
anonymized_keyword,anonymized,anonymized_ad_group,USD,87,2435,109.39,0.035699999999999996,186.1,1.5,1.26,1.5,72.93,1.7
anonymized_keyword,anonymized,anonymized_ad_group,USD,11,197,30.47,0.0558,120.99,3.0,2.77,2.0,15.24,3.97
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,944,11159,1273.94,0.08460000000000001,8295.3,94.2,1.35,51.48,24.59,6.55
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,28,86,25.82,0.3256,63.49,1.7,0.92,0.7,36.89,2.46
anonymized_keyword,anonymized,anonymized_ad_group,USD,11,212,9.16,0.0519,189.98,3.0,0.83,2.0,4.58,20.74
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,85,5.59,0.0588,79.99,2.0,1.12,1.0,5.59,14.31
anonymized_keyword,anonymized,anonymized_ad_group,USD,28,1579,70.08,0.0177,30.0,1.0,2.5,1.0,70.08,0.43
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,58,180,110.83,0.3222,2388.34,12.66,1.91,11.66,9.5,21.56
anonymized_keyword,anonymized,anonymized_ad_group,USD,21,357,23.28,0.0588,89.99,2.0,1.11,1.0,23.28,3.87
anonymized_keyword,anonymized,anonymized_ad_group,USD,13,157,37.62,0.0828,280.97,5.0,2.89,4.0,9.4,7.47
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,11,2.42,0.2727,864.25,2.0,0.81,2.0,1.21,357.13
anonymized_keyword,anonymized,anonymized_ad_group,USD,48,764,158.63,0.06280000000000001,417.0,13.9,3.3,13.9,11.41,2.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,1267,21656,3211.69,0.058499999999999996,984.0,34.0,2.53,31.0,103.55,0.31
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,71,213,67.53,0.3333,622.33,3.46,0.95,3.0,22.51,9.22
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,236,5283,295.87,0.0447,298.35,2.0,1.25,1.0,294.57,1.01
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,61,1912,70.09,0.0319,84.99,1.0,1.15,1.0,70.09,1.21
anonymized_keyword,anonymized,anonymized_ad_group,USD,89,1228,107.41,0.0725,36.0,1.0,1.21,1.0,107.41,0.34
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,84,1104,117.0,0.0761,2107.4,6.6,1.39,6.0,19.5,18.01
anonymized_keyword,anonymized,anonymized_ad_group,USD,44,370,90.53,0.1189,640.23,8.62,2.06,5.62,16.09,7.07
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,46,791,81.14,0.0582,150.0,5.0,1.76,5.0,16.23,1.85
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,88,528,127.84,0.16670000000000001,707.07,2.33,1.45,2.33,53.93,5.62
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,61,28.07,0.1148,186.0,6.0,4.01,6.0,3.9,7.95
anonymized_keyword,anonymized,anonymized_ad_group,USD,14,111,56.38,0.1261,84.99,2.0,4.03,1.0,56.38,1.51
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,165,422,85.99,0.391,3592.52,15.13,0.52,15.1,5.69,41.78
anonymized_keyword,anonymized,anonymized_ad_group,USD,83,2331,113.87,0.0356,72.0,2.0,1.37,2.0,56.94,0.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,69,11.95,0.1014,30.0,1.0,1.71,1.0,11.95,2.51
anonymized_keyword,anonymized,anonymized_ad_group,USD,35,588,48.85,0.059500000000000004,115.99,2.0,1.4,2.0,24.42,2.37
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,25,4.77,0.12,0.0,1.0,1.59,1.0,4.77,0.0
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,45,4.58,0.0889,199.98,3.0,1.14,2.0,2.29,43.66
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,21,6.56,0.23809999999999998,84.99,1.0,1.31,1.0,6.56,12.96
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,27,6.35,0.1852,248.42,1.0,1.27,1.0,6.35,39.12
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,57,898,291.86,0.0635,599.0,4.79,5.12,2.79,104.44,2.05
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,194,3854,287.47,0.050300000000000004,683.27,17.83,1.48,9.83,29.23,2.38
