Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,30,354,3.66,0.08470000000000001,142.06,0.83,27.83,4.39,38.81
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,117,1085,15.98,0.10779999999999999,121.18,0.68,82.68,23.44,7.58
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,93,1247,12.52,0.0746,262.69,1.33,58.83,9.39,20.98
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,6631,37384,847.44,0.17739999999999997,10776.61,76.75,5034.4,11.04,12.72
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,947,2805,133.0,0.33759999999999996,9030.48,46.25,1513.26,2.88,67.9
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,99,234,16.02,0.42310000000000003,202.5,1.0,91.0,16.02,12.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,2031,3268,46.14,0.6214999999999999,3624.26,21.75,2784.75,2.12,78.55
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,28,248,2.77,0.11289999999999999,33.35,1.5,14.5,1.85,12.04
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,506,6999,232.27,0.0723,679.1,3.26,120.26,71.25,2.92
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,4405,105686,2523.13,0.0417,1864.68,14.01,1337.41,180.09,0.74
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,69,233,12.16,0.2961,175.94,1.25,56.25,9.73,14.47
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,16,158,1.69,0.1013,58.66,2.75,42.82,0.61,34.71
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,419,1720,35.59,0.24359999999999998,291.54,1.81,221.84,19.61,8.19
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,277,1044,4.22,0.26530000000000004,128.94,0.6,302.6,7.03,30.55
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,25,89,4.71,0.2809,272.72,1.0,31.0,4.71,57.9
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,16018,55101,690.41,0.2907,105206.24,551.98,20974.31,1.25,152.38
